store_nbr,total_sales,avg_daily_sales,sales_variance,prop_sales_on_promo,avg_sales_dayofweek_0,avg_sales_dayofweek_1,avg_sales_dayofweek_2,avg_sales_dayofweek_3,avg_sales_dayofweek_4,avg_sales_dayofweek_5,avg_sales_dayofweek_6,avg_sales_month_1,avg_sales_month_2,cluster
1,357529.909,6.793659319360784,99.02014446100603,0.495696125562924,6.234371517869276,5.839367164997943,6.772761273919444,5.767699319160761,6.7256989473684206,7.931351861167002,8.093867698259189,6.8859662147420915,6.649483156459935,0
2,800962.206,13.448891900060447,471.6748785600205,0.49286385922493114,12.261592293054234,11.390337313432836,13.195449575871818,11.141351422739826,12.69050623179965,16.524231225071222,16.720014657980457,13.7869288771087,12.924258859322107,1
3,340260.155,6.664058344268396,92.2161949243054,0.4848508588103958,5.83648754398311,5.839590170879819,6.575669570026268,5.285758535161949,6.284762955983309,7.805663929167201,8.743035827604443,6.831457995625885,6.403388741423349,0
4,342638.563,6.756557875847926,85.93923508260825,0.4885628648051743,6.393770029465413,5.935285281822114,6.867803588549514,6.236955655346618,6.546046451437134,7.40956042054831,7.817098289437958,6.796488596604899,6.694444315662166,0
5,450421.32,8.16912998530932,130.79378235366087,0.4864247238696338,7.304458300857366,6.876800235787268,7.9925292030913475,6.446222440944881,7.050737564102564,9.828419231229793,11.351919543053679,8.356425392943422,7.8785048593113665,0
6,393223.387,7.609989684935749,134.4451998437713,0.48240826753367394,8.016245783460283,7.272778428435244,7.953686778941785,7.142471669639183,7.878557011094774,7.713556179775281,7.265323643949931,7.792257128293351,7.3279213134151755,0
7,510605.388,8.845940681196078,190.05992708010763,0.4842347804996362,7.910923903644225,7.498576540755467,8.92630714884445,7.582954905847374,8.657697530113152,10.765966886650457,10.400173493975904,9.040909552874378,8.540665377605903,0
8,472047.51,9.63873708498387,222.79473885081154,0.6275574794789072,9.398616637831603,8.960031647398845,8.851487525682419,8.310792439059991,7.4643975850390225,11.585681073825503,12.562390876317249,9.406093844907875,9.995208117890384,0
9,200584.999,6.186121788743254,92.80723054052808,0.5668465690053971,6.053365131578948,5.918746430116832,5.840418822479928,5.570240941610893,5.418268127400045,7.303872763028515,6.95442612942613,6.070205885358129,6.362679091121314,0
10,551601.567,12.18443522343222,724.985813946138,0.6380906098827064,11.548726775101656,10.626765522620904,11.853228298887123,11.013964607362933,11.717142132784028,14.027173136077339,14.257355886736214,11.62857187373978,13.027065243970211,1
11,209727.002,6.1628221915312515,358.07950404757935,0.5401839499280068,5.948359731824849,6.270446830476978,5.721210820895522,5.861038501998737,5.586721166032953,6.766999806051202,6.906402789005659,6.286624939560971,5.97101093714885,0
12,202402.998,6.329049343339587,121.39894424122544,0.5409631019387117,6.052597821350762,5.9387981834293315,6.099332806502597,5.746595319245626,5.935526327532352,8.378319449980072,5.909303123625165,6.284047752227056,6.397617108585859,0
13,257746.582,7.679714617722424,218.23591993762588,0.5446040164471724,7.867531401987734,7.136119112413649,7.555634777123633,6.902291737649063,7.172623267534649,10.27413592606854,6.580062392426851,7.767034124194493,7.542946551460468,0
14,216837.508,6.284598672579196,83.76474323598063,0.5770222879169927,6.683886142625607,5.913358985024958,6.374789849164289,6.056042230422304,5.876452614379085,7.012157542113322,6.013532440782698,6.358782979737783,6.1695768036664695,0
15,238878.219,6.729343033410333,75.93716714155808,0.5779480534114598,6.517561948676824,6.232828810446848,6.215048426150121,5.849878206422945,5.685561941510967,7.587365549348231,8.749470968934911,6.622542585286609,6.894254927255788,0
16,279297.409,7.597035387879447,156.39783029788154,0.5819823740615819,7.760145027889979,7.380128472222223,6.818692412187076,6.378745619216382,6.549025289158989,8.899623149634385,9.162413710714942,7.761427045944005,7.343929469466703,0
17,234925.34,5.612435854555879,75.50414281750363,0.5972812843423002,5.099158437983829,5.398123107971746,5.429677004797807,5.129800686106346,4.61174313583815,6.3040756748322675,7.037442663378545,5.772845903056014,5.363428597560976,0
